k,seed,run_uid,scheme,first_bin,final_bin,first_n_posts,final_n_posts,delta_dominant_share,delta_topic_entropy_norm,delta_effective_topics,delta_topic_hhi,delta_topic_hhi_norm,internal_family_label,display_family_label,model_family,model_display,roster_name,condition,scale,n_agents,run_id,source_path
8,11,356e5ccaff59febc37a3e2d77af06ee9124f1174,normalized_quartile,Q1,Q4,113,42,-0.15971344289928358,-0.009874255180323366,-0.04031980247351097,-0.1063957156726475,-0.12159510362588288,base_model_as_tool,Base model as tool,qwen-3.5-35b-a3b-base,Qwen 3.5 35B A3B Base,Qwen 3.5 35B A3B Base,dom-agi,n10,10,bm-dom-agi-n10-run01-gemini-3.1-flash-lite-preview-20260403,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/qwen-3.5-35b-a3b-base/dom-agi
8,11,3c07c8a137acc14cbf386858b07571d87cdd9661,fixed_15m,0-15m,45-60m,104,57,0.13275978407557354,-0.05138290789070438,-0.25776512560550824,0.10387823017004788,0.11871797733719758,base_model_as_tool,Base model as tool,olmo-3-32b-instruct,OLMo 3 32B Instruct,OLMo 3 32B Instruct,mag0,n10,10,bm-mag0-n10-run01-gemini-3.1-flash-lite-preview-20260408,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-instruct/mag0
8,11,3c07c8a137acc14cbf386858b07571d87cdd9661,normalized_quartile,Q1,Q4,99,65,0.12665112665112666,-0.03953418809677406,-0.20465902045456952,0.08576214599524623,0.09801388113742426,base_model_as_tool,Base model as tool,olmo-3-32b-instruct,OLMo 3 32B Instruct,OLMo 3 32B Instruct,mag0,n10,10,bm-mag0-n10-run01-gemini-3.1-flash-lite-preview-20260408,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-instruct/mag0
8,11,3e5bf186cf7a94eaeb68ffb8f80fd08f08ab8698,fixed_15m,0-15m,45-60m,126,66,0.12842712842712845,-0.16027119389361905,-0.45305869195184156,0.21069382757694466,0.24079294580222244,base_model_as_tool,Base model as tool,olmo-3-32b-base,OLMo 3 32B Base,OLMo 3 32B Base,mag0,n10,10,bm-mag0-n10-run01-gemini-3.1-flash-lite-preview-20260408,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-base/mag0
8,11,3e5bf186cf7a94eaeb68ffb8f80fd08f08ab8698,normalized_quartile,Q1,Q4,126,77,0.13275613275613274,-0.1676471766250097,-0.4704934065688018,0.21886458899445926,0.2501309588508106,base_model_as_tool,Base model as tool,olmo-3-32b-base,OLMo 3 32B Base,OLMo 3 32B Base,mag0,n10,10,bm-mag0-n10-run01-gemini-3.1-flash-lite-preview-20260408,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-base/mag0
8,11,4066c2db36af714648d91e123bd873596c77975c,fixed_15m,0-15m,45-60m,103,57,-0.12416964741951975,0.00936316685760269,0.05135590554987601,-0.07922151616015272,-0.09053887561160312,single_model_final,Single-model final runs,google/gemini-3.1-flash-lite-preview,Gemini Flash Lite,Gemini Flash Lite,dom-agi,n10,10,ec-dom-agi-n10-run01,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-10/ec-dom-agi-n10-run01
8,11,4066c2db36af714648d91e123bd873596c77975c,normalized_quartile,Q1,Q4,89,111,-0.13594493369774274,-0.04032598083314487,-0.21484693610187477,-0.03757466560074757,-0.04294247497228293,single_model_final,Single-model final runs,google/gemini-3.1-flash-lite-preview,Gemini Flash Lite,Gemini Flash Lite,dom-agi,n10,10,ec-dom-agi-n10-run01,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-10/ec-dom-agi-n10-run01
8,11,414de5708c19ec70bf042d934ff00dcab6a86d15,fixed_15m,0-15m,45-60m,139,56,-0.010534429599177775,-0.024168906907213294,-0.14752835713211176,0.015191352277156456,0.017361545459607386,mixed_model_roster,Mixed-model roster,mixed-roster/qwen3.5-27b,Mixed roster (Qwen 3.5 27B),Mixed roster (Qwen 3.5 27B),mag0,n10,10,mag0-qwen35-27b-133846-mag0-n10-run01-frontier-mixed-openrouter-20260504,exports/huggingface/Ayushnangia/moltbook-frontier-mixed-1h/qwen3.5-27b/mag0
8,11,414de5708c19ec70bf042d934ff00dcab6a86d15,normalized_quartile,Q1,Q4,133,63,-0.005847953216374269,-0.04372020639875113,-0.26502445693969445,0.029368883082113495,0.03356443780812973,mixed_model_roster,Mixed-model roster,mixed-roster/qwen3.5-27b,Mixed roster (Qwen 3.5 27B),Mixed roster (Qwen 3.5 27B),mag0,n10,10,mag0-qwen35-27b-133846-mag0-n10-run01-frontier-mixed-openrouter-20260504,exports/huggingface/Ayushnangia/moltbook-frontier-mixed-1h/qwen3.5-27b/mag0
8,11,45aa6f3394d187bec1a0e0922643255c81110e18,normalized_quartile,Q1,Q4,157,11,-0.06311522872032427,0.02422909735727552,0.18804496289860673,-0.03994261246076736,-0.045648699955162686,obsession_prompting,Obsession prompting,gpt-5,GPT-5,GPT-5,mag25,n10,10,obs-mag25-n10-run01-gpt-5-20260418,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/obsession/gpt5/obs-mag25-5h-run02
