internal_family_label,model_display,scheme,k,seed,n_runs,delta_dominant_share_mean,delta_dominant_share_median,delta_dominant_share_n_negative,delta_dominant_share_n_positive,delta_dominant_share_sign_p,delta_topic_entropy_norm_mean,delta_topic_entropy_norm_median,delta_topic_entropy_norm_n_negative,delta_topic_entropy_norm_n_positive,delta_topic_entropy_norm_sign_p,delta_effective_topics_mean,delta_effective_topics_median,delta_effective_topics_n_negative,delta_effective_topics_n_positive,delta_effective_topics_sign_p,delta_topic_hhi_mean,delta_topic_hhi_median,delta_topic_hhi_n_negative,delta_topic_hhi_n_positive,delta_topic_hhi_sign_p,delta_topic_hhi_norm_mean,delta_topic_hhi_norm_median,delta_topic_hhi_norm_n_negative,delta_topic_hhi_norm_n_positive,delta_topic_hhi_norm_sign_p
base_model_as_tool,OLMo 3 32B Base,normalized_quartile,16,44,6,0.14741701691171752,0.16608946608946615,2,4,0.6875,-0.1758141058951297,-0.11436602242657462,5,1,0.21875,-1.1469331876944613,-0.6942983262374222,5,1,0.21875,0.19735902557725507,0.17255944312221375,2,4,0.6875,0.2105162939490721,0.18406340599702797,2,4,0.6875
base_model_as_tool,OLMo 3 32B Base,normalized_quartile,16,55,6,0.053205675383877736,0.15021645021645028,2,4,0.6875,-0.12977363311880172,-0.12871711958768112,4,2,0.6875,-0.7100392571271152,-0.7225557837560052,4,2,0.6875,0.12131696500337275,0.16786198409575045,2,4,0.6875,0.12940476267026424,0.1790527830354671,2,4,0.6875
base_model_as_tool,OLMo 3 32B Base,normalized_quartile,24,11,6,0.1503355457040327,0.15995670995671,2,4,0.6875,-0.16152315171907206,-0.08896729399291517,5,1,0.21875,-1.345238353559495,-0.7524432055095236,5,1,0.21875,0.20077782446791845,0.15576130299074029,2,4,0.6875,0.20950729509695834,0.16253353355555505,2,4,0.6875
base_model_as_tool,OLMo 3 32B Base,normalized_quartile,24,22,6,0.0905712145326763,0.18528138528138532,2,4,0.6875,-0.14642896025614846,-0.16259102412795862,4,2,0.6875,-1.0173237114058473,-1.1253873776778762,4,2,0.6875,0.1742631170262321,0.2542922525606509,2,4,0.6875,0.18183977428824216,0.26534843745459225,2,4,0.6875
base_model_as_tool,OLMo 3 32B Base,normalized_quartile,24,33,6,0.04128075172794707,0.16500546379187153,2,4,0.6875,-0.10851874059130535,-0.17179744424493198,4,2,0.6875,-0.6952688763029813,-0.9349415898250004,4,2,0.6875,0.12026486686961028,0.2241348739924497,2,4,0.6875,0.1254937741248107,0.2338798685138605,2,4,0.6875
base_model_as_tool,OLMo 3 32B Base,normalized_quartile,24,44,6,0.16266617130760733,0.1445165945165946,2,4,0.6875,-0.19094522595469088,-0.1434456359603561,5,1,0.21875,-1.4459155541454882,-0.9423141005196539,5,1,0.21875,0.22233277726132014,0.210986113453646,2,4,0.6875,0.23199941975094282,0.22015942273423933,2,4,0.6875
base_model_as_tool,OLMo 3 32B Base,normalized_quartile,24,55,6,0.16800342672109858,0.1611832611832612,1,5,0.21875,-0.1688200547994764,-0.08291360868927442,5,1,0.21875,-1.385065205789903,-0.5970753791401616,5,1,0.21875,0.2234060776294623,0.15915937357495802,1,5,0.21875,0.23311938535248242,0.16607934633908658,1,5,0.21875
base_model_as_tool,OLMo 3 32B Instruct,fixed_15m,8,11,6,0.12657445081853536,0.13168437921727394,1,5,0.21875,-0.06763729683893714,-0.05027697663988129,5,1,0.21875,-0.12697315591685024,-0.23439496780397895,5,1,0.21875,0.13143513675912802,0.11192676198673332,2,4,0.6875,0.15021158486757488,0.12791629941340954,2,4,0.6875
base_model_as_tool,OLMo 3 32B Instruct,fixed_15m,8,22,6,0.11788153335953934,0.09712381916329285,2,4,0.6875,-0.16556664457829848,-0.1010804821575838,4,2,0.6875,-0.7195750272076852,-0.5713432318650136,4,2,0.6875,0.18465741917295775,0.1047024536082791,2,4,0.6875,0.21103705048338028,0.11965994698089039,2,4,0.6875
base_model_as_tool,OLMo 3 32B Instruct,fixed_15m,8,33,6,0.06733623487870895,0.04578674269125338,3,3,1.0,-0.0783105620506087,-0.0721906773562308,3,3,1.0,-0.17512150788719497,-0.2018628090589828,3,3,1.0,0.10307122877799342,0.07962903486658429,3,3,1.0,0.11779569003199249,0.09100461127609633,3,3,1.0
